Nombre,Partido,Estado,Cabecera Municipal
Polevnsky Gurwitz Yeidckol,MORENA,Estado de México, 
Porras Domínguez Alfredo,MORENA,Baja California Sur,San José del Cabo
Prado de los Santos Miguel,MORENA,Estado de México, 
Prieto Terrazas Susana,MORENA,Chihuahua, 
Rabelo Estrada Karla María,MORENA,Tabasco,Heroica Cárdenas
Ramírez Padilla Julieta Andrea,MORENA,Baja California,Mexicali
Ramiro Alejo Brenda,MORENA,Ciudad de México, 
Ramos Juárez Adela,MORENA,Chiapas,Bochil
Reyes Carmona Emmanuel,MORENA,Guanajuato,Valle de Santiago
Reyes Lopez Valentín,MORENA,Veracruz,Cosamaloapan
Reyes Silva María del Rosario,MORENA,Guerrero, 
Rincón Chanona Sonia,MORENA,Chiapas, 
Ríos Cheno Bernardo,MORENA,Sonora,Guaymas
Ritter Ocampo Klaus Uwe,MORENA,Morelos, 
Robledo Ruiz Juan Ramiro,MORENA,San Luis Potosí, 
Robles Gómez Manuel Alejandro,MORENA,Ciudad de México, 
Robles Ortíz Martha,MORENA,Estado de México,Cd. Nezahualcóyotl
Rodríguez González Manuel,MORENA,Tabasco,Villahermosa
Rodríguez Torres Ángel Miguel,MORENA,Estado de México, 
Rojas Martínez Beatriz,MORENA,Ciudad de México,Gustavo A. Madero
Román Ávila María Guadalupe,MORENA,Estado de México,Ecatepec de Morelos
Salazar López Noemí,MORENA,Estado de México, 
Sánchez Barrios Carlos,MORENA,Guerrero,Chilpancingo
Sánchez Ortiz Graciela,MORENA,Estado de México,Amecameca de Juárez
Sánchez Rodríguez Juan Pablo,MORENA,Estado de México,Cd. Nezahualcóyotl
Sandoval Ballesteros Pablo Amílcar,MORENA,Guerrero,Acapulco
Santiago Chepi Azael,MORENA,Oaxaca,Tlacolula de Matamoros
Santiago Manuel Iran,MORENA,Oaxaca, 
Santiago Marcos Nancy Yadira,MORENA,Sinaloa,Culiacán de Rosales
Sibaja Mendoza Jorge Ángel,MORENA,Oaxaca, 
Sierra Damián María,MORENA,Campeche,Ciudad del Carmen
Silva Hernandez Dulce Maria,MORENA,Tlaxcala, 
Tanori Córdova Judith Celina,MORENA,Sonora,Hermosillo
Tello Espinosa Claudia,MORENA,Veracruz,Xalapa
Tenorio Adame Paola,MORENA,Veracruz,San Andrés Tuxtla
Torres Escudero Mario Alberto,MORENA,Veracruz, 
Torres Navarro Juan Guadalupe,MORENA,Sinaloa, 
Torruco Garza Miguel,MORENA,Ciudad de México, 
Valadez Bojorquez Marina,MORENA,Sinaloa,Culiacán de Rosales
Valencia Cruz Rosalba,MORENA,Veracruz,Minatitlán
Valencia Medina Alma Griselda,MORENA,Michoacán, 
Varela López Víctor Gabriel,MORENA,Ciudad de México,Iztapalapa
Vargas Meraz Teresita de Jesús,MORENA,Chihuahua,Juárez
Vázquez Álvarez Brianda Aurora,MORENA,Sonora, 
Vazquez Arellano Manuel,MORENA,Veracruz, 
Vázquez Vázquez Alfredo,MORENA,Chiapas,Ocosingo
Vences Valencia Julieta Kristal,MORENA,Puebla, 
Vidal Benavides Faustino,MORENA,Veracruz, 
Vigil Hernández Elva Agustina,MORENA,Tamaulipas,H. Matamoros
Villa Villegas Alberto,MORENA,Jalisco,Tonalá
Villegas Guarneros Dulce María Corina,MORENA,Veracruz,Orizaba
Zamora Valdez Casimiro,MORENA,Sinaloa,Guasave
Zebadúa Alva Joaquín,MORENA,Chiapas,Pichucalco
Zúñiga Cuevas María del Carmen,MORENA,Colima,Manzanillo
Aguado Romero Paulina,PAN,Querétaro, 
Aguilar Coronado Marco Humberto,PAN,Puebla,Cholula de Rivadavia
Alcántar Ortega Salvador,PAN,Chihuahua,Delicias
Almaraz Smer Oscar de Jesús,PAN,Tamaulipas,Ciudad Victoria
Almendariz Puppo Marco Antonio,PAN,Baja California Sur,La Paz
Álvarez Hernández Daniela Soraya,PAN,Chihuahua,Juárez
Aranda Orozco Ana Teresa,PAN,Puebla,Heroica Puebla de Zaragoza
Azar Figueroa Anuar Roberto,PAN,Estado de México, 
Azuara Zúñiga Xavier,PAN,San Luis Potosí, 
Báez Guerrero José Luis,PAN,Querétaro, 
Balderas Hernández Itzel Josefina,PAN,Guanajuato,Irapuato
Balderas Trejo Ana María,PAN,Estado de México,Ciudad Adolfo López Mateos
Beauregard Martínez Carolina,PAN,Puebla,Heroica Puebla de Zaragoza
Becerra Moreno Monica,PAN,Aguascalientes,Aguascalientes
Bolio Pinelo Kathia María,PAN,Yucatán, 
Campuzano González Gina Gerardina,PAN,Durango,Victoria de Durango
Castell de Oro Palacios María Teresa,PAN,Estado de México,Toluca de Lerdo
Castillo Olivares Héctor Israel,PAN,Nuevo León,Santa Catarina
Castrellón Garza Francisco Javier,PAN,Durango,Victoria de Durango
Chalé Cauich Sergio Enrrique,PAN,Yucatán,Valladolid
Cifuentes Negrete Román,PAN,Guanajuato, 
Compeán Fernández Eliseo,PAN,Chihuahua, 
Contreras Duarte Laura Patricia,PAN,Chihuahua,Chihuahua
Cordero González Wendy Maricela,PAN,Nuevo León,Gral. Escobedo
Creel Miranda Santiago,PAN,Ciudad de México, 
Díaz Villalón Erika de los Ángeles,PAN,Querétaro,El Pueblito
Escudero Fabre María del Carmen,PAN,Veracruz, 
Espadas Galván Jorge Arturo,PAN,Guanajuato,León
Esquivel Arrona Ana Maria,PAN,Guanajuato,León
Felipe Torres Joanna Alejandra,PAN,Estado de México,Cuautitlán Izcalli
Galarza Castro Yesenia,PAN,Guerrero, 
Gamboa Torales María Josefina,PAN,Veracruz,Veracruz
García García José Antonio,PAN,Estado de México,Huixquilucan de Degollado
Garcia Velasco Anabey,PAN,Michoacán, 
Garza Treviño Pedro,PAN,Nuevo León,Guadalupe
Godínez del Rio Enrique,PAN,Michoacán,Zamora de Hidalgo
Gómez Cárdenas Annia Sarahí,PAN,Nuevo León,Monterrey
Gómez del Campo Gurza Mariana,PAN,Ciudad de México, 
