,Distrito,Cabecera Municipal,Diputado,Partido,Estado
203,5,Azcapotzalco,Jesús Sesma Suárez,Partido Verde Ecologista de México,Distrito Federal
204,6,Gustavo A. Madero,Jorge Gaviño Ambriz,Partido de la Revolución Democrática,Distrito Federal
205,7,Milpa Alta,José Octavio Rivero Villaseñor,Movimiento Regeneración Nacional,Distrito Federal
206,8,Tláhuac,Adriana Espinosa de los Monteros,Movimiento Regeneración Nacional,Distrito Federal
207,9,Cuauhtémoc,Esther Silvia Sánchez Barrios,Partido Revolucionario Institucional,Distrito Federal
208,10,Venustiano Carranza,María Guadalupe Morales Rubio,Movimiento Regeneración Nacional,Distrito Federal
209,11,Venustiano Carranza,María de Lourdes Paz Reyes,Movimiento Regeneración Nacional (2021-2022)3,Distrito Federal
210,12,Cuauhtémoc,Maxta Irais González Carrillo,Partido Revolucionario Institucional,Distrito Federal
211,13,Miguel Hidalgo,América Alejandra Rangel Lorenzana,Partido Acción Nacional,Distrito Federal
212,14,Tlalpan,Carlos Hernández Mirón,Movimiento Regeneración Nacional,Distrito Federal
213,15,Iztacalco,Marcela Fuente Castillo,Movimiento Regeneración Nacional,Distrito Federal
214,16,Tlalpan,Daniela Gicela Álvarez Camacho,Sin partidoa,Distrito Federal
215,17,Benito Juárez,Christian Damián von Roehrich de la Isla,Partido Acción Nacional,Distrito Federal
216,18,Álvaro Obregón,Polimnia Romana Sierra Bárcena,Partido de la Revolución Democrática,Distrito Federal
217,19,Tlalpan,María Guadalupe Chávez Contreras,Movimiento Regeneración Nacional,Distrito Federal
218,20,Álvaro Obregón,María de Lourdes González Hernández,Partido Revolucionario Institucional,Distrito Federal
219,21,Iztapalapa,Indali Pardillo Cadena,Movimiento Regeneración Nacional,Distrito Federal
220,22,Iztapalapa,Esperanza Villalobos Pérez,Movimiento Regeneración Nacional,Distrito Federal
221,23,Álvaro Obregón,Claudia Montes de Oca Olmo,Partido Acción Nacional,Distrito Federal
222,24,Iztapalapa,Gabriela Quiroga Anguiano,Partido de la Revolución Democrática,Distrito Federal
223,25,Xochimilco,Circe Camacho Bastida,Partido del Trabajo,Distrito Federal
224,26,Benito Juárez,Héctor Barrera Marmolejo,Partido Acción Nacional,Distrito Federal
225,27,Iztapalapa,Marisela Zúñiga Cerón,Movimiento Regeneración Nacional,Distrito Federal
226,28,Iztapalapa,Martha Soledad Ávila Ventura,Movimiento Regeneración Nacional,Distrito Federal
227,29,Iztapalapa,Miguel Ángel Macedo Escartín,Movimiento Regeneración Nacional,Distrito Federal
228,30,Coyoacán,Ricardo Rubio Torres,Partido Acción Nacional,Distrito Federal
229,31,Iztapalapa,Valeria Cruz Flores,Movimiento Regeneración Nacional,Distrito Federal
230,32,Coyoacán,Gerardo Villanueva Albarrán,Movimiento Regeneración Nacional,Distrito Federal
231,33,Magdalena Contreras,Ernesto Alarcón Jiménez,Partido Revolucionario Institucional,Distrito Federal
232,1,Tenosique,Dolores del Carmen Moreno Zubieta,Movimiento Regeneración Nacional,Tabasco
233,2,Cárdenas,Dariana Lemarroy de la Fuente,Movimiento Regeneración Nacional,Tabasco
234,3,Cárdenas,Euclides Alejandro Alejandro,Movimiento Regeneración Nacional,Tabasco
235,4,Huimanguillo,Rita del Carmen Gálvez Bonora,Movimiento Regeneración Nacional,Tabasco
236,5,Centla,Isabel Yazmín Orueta Hernández,Movimiento Regeneración Nacional,Tabasco
237,6,Centro,Jorge Orlando Bracamonte Hernández,Movimiento Regeneración Nacional,Tabasco
238,7,Centro,José de Jesús Hernández Díaz,Movimiento Regeneración Nacional,Tabasco
239,8,Centro,Ana Isabel Núñez de Dios,Movimiento Regeneración Nacional,Tabasco
240,9,Centro,Karla Alejandra Garrido Perea,Movimiento Regeneración Nacional,Tabasco
241,10,Centro,Jaime Humberto Lastra Bastar,Movimiento Regeneración Nacional,Tabasco
242,11,Tacotalpa,Luis Roberto Salinas Falcón,Movimiento Regeneración Nacional,Tabasco
243,12,Centro,María de Lourdes Morales López,Movimiento Regeneración Nacional,Tabasco
244,13,Comalcalco,Marlene Martínez Ruíz,Movimiento Regeneración Nacional,Tabasco
245,14,Cunduacán,Jesús Antonio Ochoa Hernández,Movimiento Regeneración Nacional,Tabasco
246,15,Emiliano Zapata,Rafael Elías Sánchez Cabrales,Movimiento Regeneración Nacional,Tabasco
247,16,Huimanguillo,Diana Laura Rodríguez Morales,Movimiento Regeneración Nacional,Tabasco
248,17,Jalpa de Méndez,Jesús Selván García,Movimiento Regeneración Nacional,Tabasco
249,18,Macuspana,Rosana Arcia Félix,Movimiento Regeneración Nacional,Tabasco
250,19,Nacajuca,David Gómez Cerino,Movimiento Regeneración Nacional,Tabasco
251,20,Paraíso,Laura Patricia Ávalos Magaña,Movimiento Regeneración Nacional,Tabasco
252,21,Centro,Emilio Antonio Contreras Martínez de Escobar,Movimiento Regeneración Nacional,Tabasco
253,1,Zacatecas,José Xerardo Ramírez Muñoz,Partido del Trabajo,Zacatecas
254,2,Zacatecas,Gabriela Evangelina Pinedo Morales,Movimiento Regeneración Nacional,Zacatecas
255,3,Guadalupe,Violeta Cerrillo Ortiz,Movimiento Regeneración Nacional,Nuevo León
256,4,Guadalupe,Roxana Del Refugio Muñoz González,Movimiento Regeneración Nacional,Nuevo León
257,5,Fresnillo,Ernesto González Romo,Movimiento Regeneración Nacional,Zacatecas
258,6,Fresnillo,Maribel Galván Jiménez,Movimiento Regeneración Nacional,Zacatecas
259,7,Fresnillo,Gerardo Pinedo Santa Cruz,Partido de la Revolución Democrática,Zacatecas
260,8,Ojocaliente,Jehú Eduí Salas Dávila,Partido Revolucionario Institucional,Zacatecas
261,9,Loreto,Imelda Mauricio Esparza,Movimiento Regeneración Nacional,Baja California Sur
262,10,Jerez,María del Refugio Ávalos Márquez,Partido Revolucionario Institucional,Zacatecas
263,11,Villanueva,Susana Andrea Barragán Espinosa,Nueva Alianza Zacatecas,Zacatecas
264,12,Villa de Cos,José David González Hernández,Partido Revolucionario Institucional,Zacatecas
265,13,Jalpa,Armando Delgadillo Ruvalcaba,Movimiento Regeneración Nacional,Zacatecas
266,14,Tlaltenango,José Guadalupe Correa Valdez,Partido Acción Nacional,Zacatecas
267,15,Pinos,Herminio Briones Oliva,Partido Revolucionario Institucional,Zacatecas
268,16,Río Grande,José Juan Mendoza Maldonado,Partido de la Revolución Democrática,Zacatecas
269,17,Sombrerete,Karla Dejanira Valdez Espinoza,Partido Acción Nacional,Zacatecas
270,18,Juan Aldama,Manuel Benigno Gallardo Sandoval,Partido Revolucionario Institucional,Zacatecas
271,1,Colima,Martha Fernanda Salazar Martínez,Partido Acción Nacional,Colima
272,2,Colima,Priscila García Delgadoa,Partido Acción Nacional (2021-2022),Colima
273,3,Colima,Alfredo Álvarez Ramírez,Movimiento Regeneración Nacional,Colima
274,4,Comala,Miguel Ángel Galindo Barragán,Partido Revolucionario Institucional,Colima
275,5,Coquimatlán,Myriam Gudiño Espíndola,Nueva Alianza,Colima
276,6,Cuauhtémoc,Hilda Lizette Moreno Ceballos,Partido Revolucionario Institucional,Distrito Federal
