,Municipio,Municipal,Estado,Gobernador,Partido
900,San Andres Huaxpaltepec,Sebastian Angel Reyes,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
901,San Andres Zautla,Juan Angel Lazaro Montes,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
902,San Antonino Castillo Velasco,Miguel Angel Hernandez Sanchez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
903,San Baltazar Chichicapam,Mateo Carranza Gonzalez,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
904,San Bartolome Ayautla,Domingo Jalisco Reyes,Oaxaca,Salomon Jara Cruz,Nueva Alianza Oaxaca
905,San Blas Atempa,Noel Hernandez Rito,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
906,San Dionisio del Mar,Sonia Luis Gallegos,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
907,San Felipe Jalapa de Diaz,Maria Fernanda Barbosa Sosa,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
908,San Felipe Usila,Juan de Dios Jacinto,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
909,San Francisco del Mar,Pedro Enriquez Martinez,Oaxaca,Salomon Jara Cruz,Redes Sociales Progresistas
910,San Francisco Ixhuatan,Felipe Lopez Matus,Oaxaca,Salomon Jara Cruz,Candidato independiente
911,San Francisco Telixtlahuaca,Nidia Betzabeth Garcia Perez,Oaxaca,Salomon Jara Cruz,Redes Sociales Progresistas
912,San Jacinto Amilpas,Gabriela Adriana Diaz Perez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
913,San Jeronimo Silacayoapilla,Elideth Lopez Cedillo,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
914,San Jose Chiltepec,Javier Martinez Lopez,Oaxaca,Salomon Jara Cruz,Nueva Alianza Oaxaca
915,San Jose Estancia Grande,Leonardo Gil Salinas Hernandez,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
916,San Jose Independencia,Agar Cancino Gomez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
917,San Jose Tenango,Luis Lorenzo Carrera Juarez,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
918,San Juan Bautista Cuicatlan,Maricel Mariscal Gaytan,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
919,San Juan Bautista Lo de Soto,Edil Leyva Carmona,Oaxaca,Salomon Jara Cruz,Fuerza por México
920,San Juan Bautista Suchitepec,Gloria Angelica Arias Villamil,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
921,San Juan Bautista Tlacoatzintepec,Ruben Gonzalez Gomez,Oaxaca,Salomon Jara Cruz,Movimiento Ciudadano
922,San Juan Bautista Tuxtepec,Irineo Molina Espinoza,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
923,San Juan Cacahuatepec,Pedro Martinez Barroso,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
924,San Juan Coatzospam,Alfonso Flores Sanchez,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
925,San Juan Colorado,Juan Garcia Arias,Oaxaca,Salomon Jara Cruz,Nueva Alianza Oaxaca
926,San Juan Guichicovi,Heberto Luis Zacarias,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
927,San Juan Ihualtepec,Florencia Cecilia Gonzalez Quiroz,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
928,San Lorenzo,Elodia Hernandez Hernandez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
929,San Lucas Ojitlan,Isidro Ortega Silva,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
930,San Marcos Arteaga,Cinthya Hernandez Barragan,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
931,San Martin Zacatepec,Vanessa Martinez Ramirez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
932,San Mateo Rio Hondo,Angel Gerardo Ruiz Velasquez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
933,San Miguel Ahuehuetitlan,Lucia Areana Carbajal Calero,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
934,San Miguel Amatitlan,Joel Angel Bravo Martinez,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
935,Villa Sola de Vega,Ivan Osael Quiroz Martinez,Oaxaca,Salomon Jara Cruz,Candidato independiente
936,San Miguel Soyaltepec,Nazario Antonio Hernandez Velasquez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
937,San Miguel Tlacamama,Felipe de Jesus Cisneros Baños,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
938,San Nicolas Hidalgo,Jose Manuel Silva Barrera,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
939,San Pablo Huitzo,Farid Acevedo Lopez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
940,San Pablo Huixtepec,Andres Diaz Ibañez,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
941,San Pedro Amuzgos,Camerino Emiliano Garcia Bernabe,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
942,San Pedro Atoyac,Uriel Garcia Mejia,Oaxaca,Salomon Jara Cruz,Nueva Alianza Oaxaca
943,San Pedro Comitancillo,Ulises Sanchez Antonio,Oaxaca,Salomon Jara Cruz,Candidato independiente
944,San Pedro Huamelula,Victor Hugo Sosa Garcia,Oaxaca,Salomon Jara Cruz,Partido Encuentro Solidario
945,San Pedro Huilotepec,Yesenia Ortiz Mendez,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
946,San Pedro Ixcatlan,Gildardo Vicente Matias,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
947,San Pedro Jicayan,Anatolio Damian Garcia,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
948,San Pedro Mixtepec -Distrito 22-,Javier Cruz Jimenez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
949,San Pedro Pochutla,Saymi Adriana Pineda Velasco,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
950,San Pedro Tapanatepec,Humberto Lopez Parrazales,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
951,Villa de Tututepec de Melchor Ocampo,Jesuhandy Alberto Conde Gomez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
952,Villa de Etla,Miguel Angel Martinez Merlin,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
953,San Pedro y San Pablo Teposcolula,Brigida Santiago Hernandez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
954,San Sebastian Ixcapa,Ricardo Estevez Merino,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
955,Santa Ana Zegache,Vicente Ventura Barrios,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
956,Santa Catarina Juquila,Felipe Juarez Guzman,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
957,Santa Cruz Amilpas,Christian Baruch Castellanos Rodriguez,Oaxaca,Salomon Jara Cruz,Candidato independiente
958,Santa Cruz Itundujia,Irma Jose Castro,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
959,Santa Cruz Tacache de Mina,Angela Cortes Balbuena,Oaxaca,Salomon Jara Cruz,Movimiento Ciudadano
960,Santa Gertrudis,Concepcion Ibañez Contreras,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
961,Santa Lucia del Camino,Juan Carlos Garcia Marquez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
962,Heroica Ciudad de Tlaxiaco,Miguel de Jesus Perez Vasquez,Oaxaca,Salomon Jara Cruz,Partido Encuentro Solidario
963,Santa Maria Cortijo,Elesban Carmona Torres,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
964,Santa Maria Huatulco,Jose Hernandez Cardenas,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
965,Santa Maria Huazolotitlan,Vilma Senorina Reyes Martinez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
966,Santa Maria Ipalapa,Raul Morales Garcia,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
967,Santa Maria Jacatepec,Gadiel Rogelio Rodriguez Gomez,Oaxaca,Salomon Jara Cruz,Partido Encuentro Solidario
968,Santa Maria Jalapa del Marques,Joselin Esquivel Balseca,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
969,Santa Maria Petapa,Oliver Lopez Garcia,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
970,Santa Maria Tecomavaca,Maria Teresa Arroyo Contreras,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
971,Santa Maria Teopoxco,Edgar Estrada Fabian,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
972,Santa Maria Texcatitlan,Herminio Hernandez Cruz,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
973,Santa Maria Tonameca,Cesar Ruiz Gutierrez,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
974,Santa Maria Zacatepec,Denis Guzman Pelaez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
975,Santiago Ayuquililla,Maricruz Santos Martinez,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
976,Santiago Cacaloxtepec,Castulo Felix Martinez Flores,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
977,Santiago Chazumba,Efrain Bautista Garcia,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
978,Santiago Huajolotitlan,Jose Guadalupe Barbosa Barragan,Oaxaca,Salomon Jara Cruz,Fuerza por México
979,Santiago Jamiltepec,Cecilia Rivas Marquez,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
980,Santiago Juxtlahuaca,Arsenio Lorenzo Mejia Garcia,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
981,Santiago Llano Grande,Jiver Baños Ortega,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
982,Santiago Pinotepa Nacional,Antonio Marbel Jimenez Meza,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
983,Santiago Suchilquitongo,Laura Isabel Roman Figueroa,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
984,Santiago Tamazola,Elsa Mendez Ayala,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
985,Santiago Tapextla,Ramon Bacho Serrano,Oaxaca,Salomon Jara Cruz,Fuerza por México
986,Villa Tejupam de la Union,Wilhelmy Aurory Carrizosa Rojas,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
987,Santiago Tetepec,Obed Cruz Torres,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
988,Santo Domingo Ingenio,German Alvarado Lopez,Oaxaca,Salomon Jara Cruz,Fuerza por México
989,Santo Domingo Armenta,Damaris Dominguez Hernandez,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
990,Santo Domingo Chihuitan,Magdalena Rodriguez Cruz,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
991,Santo Domingo Petapa,Jose Manuel Guzman Garcia,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
992,Santo Domingo Tehuantepec,Vilma Martinez Cortes,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
993,Santo Domingo Tonala,Anali Ramirez Olivera,Oaxaca,Salomon Jara Cruz,Partido Unidad Popular
994,Santo Domingo Zanatepec,Tania Isabel Escobar Rivera,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
995,Silacayoapam,Jaime Moises Valerio Torres,Oaxaca,Salomon Jara Cruz,Partido Revolucionario Institucional
996,Soledad Etla,Angel Yoshimar Cruz Melchor,Oaxaca,Salomon Jara Cruz,Partido Encuentro Solidario
997,Villa de Tamazulapam del Progreso,Ramiro Quiroz Salcedo,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
998,Teotitlan de Flores Magon,Genaro Leonardo Sosa Sanchez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
999,Tezoatlan de Segura y Luna,Ana Maria Ventura Aguilar,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
1000,Tlacolula de Matamoros,Heliodoro Morales Mendoza,Oaxaca,Salomon Jara Cruz,Partido del Trabajo
1001,Trinidad Zaachila,Esteban Manuel Rodriguez,Oaxaca,Salomon Jara Cruz,Partido de la Revolución Democrática
1002,Union Hidalgo,Juan Jesus Martinez Rasgado,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
1003,Valerio Trujano,Dario Miranda Morales,Oaxaca,Salomon Jara Cruz,Partido Unidad Popular
1004,San Juan Bautista Valle Nacional,Marcelo Santos Meneses,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
1005,Villa de Zaachila,Carlos Rigoberto Chacon Perez,Oaxaca,Salomon Jara Cruz,Movimiento Regeneración Nacional
1006,Zapotitlan Lagunas,Armando Salvador Bravo Sosa,Oaxaca,Salomon Jara Cruz,Partido Verde Ecologista de México
1007,Zimatlan de Alvarez,Jose Luis Salvador Martinez,Oaxaca,Salomon Jara Cruz,Partido Acción Nacional
1008,Acajete,David Melendez Lopez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1009,Acateno,Juan Cruz Bello,Puebla,Sergio Salomon Cespedes Peregrina,Partido Encuentro Solidario
1010,Acatlan,Arturo Cajica Gomez,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1011,Acatzingo,Abrahan Martinez Jimenez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1012,Acteopan,Alvaro Tapia Castillo,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1013,Ahuacatlan,Pedro Luis Cruz Bonilla,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1014,Ahuatlan,Cecilia Hernandez Orduña,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1015,Ahuazotepec,Cesar Ramirez Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1016,Ahuehuetitla,Yasmin Castillo Onofre,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1017,Ajalpan,Sergio Sandoval Paniagua,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1018,Albino Zertuche,Gabriela Janet Mendez Garcia,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1019,Aljojuca,Reynaldo Lomeli Escobar,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1020,Altepexi,Miguel Rafael Feliciano,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1021,Amixtlan,Perfecto Bazan Galindo,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1022,Amozoc,Bernardo Mario de la Rosa Romero,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1023,Aquixtla,Amando Nava Arroyo,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1024,Atempan,Carlos Herrera Gonzalez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1025,Atexcal,Juan Luna Luna,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1026,Atlequizayan,Bertha Rodriguez Rodriguez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1027,Atlixco,Ariadna Ayala Camarillo,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1028,Atoyatempan,Elfego Galindo Rosas,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1029,Atzala,Teresa Angel Rodriguez,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1030,Atzitzihuacan,Reyes Dominguez Aldama,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1031,Atzitzintla,Jose Luis Lopez Castillo,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1032,Axutla,Marco Antonio Monge Zuñiga,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1033,Ayotoxco de Guerrero,Javier Becerril Galicia,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1034,Calpan,Fernando Castellanos Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1035,Caltepec,Reynalda Cristina Cabanzo Mendez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1036,Camocuautla,Noe Garcia Francisco,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1037,Caxhuacan,Antonia Perez Diaz,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1038,Coatepec,Antonio Perez Guzman,Puebla,Sergio Salomon Cespedes Peregrina,Partido Encuentro Solidario
1039,Coatzingo,Abel Chavez Orea,Puebla,Sergio Salomon Cespedes Peregrina,Redes Sociales Progresistas
1040,Cohetzala,Efren Atempa Ramales,Puebla,Sergio Salomon Cespedes Peregrina,Compromiso por Puebla
1041,Cohuecan,Minerva Dominguez Gallares,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1042,Coronango,Gerardo Sanchez Aguilar,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1043,Coxcatlan,Camerino Montalvo Montiel,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1044,Coyomeapan,Rodolfo Garcia Lopez,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1045,Coyotepec,Silvia Jimenez Gonzalez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1046,Cuapiaxtla de Madero,Oscar Sanchez Sanchez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1047,Cuautempan,Gerardo Cortes Caballero,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1048,Cuautinchan,Jose Daniel Torres Garcia,Puebla,Sergio Salomon Cespedes Peregrina,Compromiso por Puebla
1049,Cuautlancingo,Filomeno Sarmiento Torres,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1050,Cuayuca de Andrade,Marcos Solis Carrera,Puebla,Sergio Salomon Cespedes Peregrina,Compromiso por Puebla
1051,Cuetzalan del Progreso,Gerson Calixto Dattoli,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1052,Cuyoaco,Ivan Conrado Camacho Romero,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1053,Chalchicomula de Sesma,Uruviel Gonzalez Vieyra,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1054,Chapulco,Jose Ignacio Rodriguez Perez,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1055,Chiautla,Reyes Miranda Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1056,Chiautzingo,Salvador Dominguez Rojas,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1057,Chiconcuautla,Pablo Galindo Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1058,Chichiquila,Artemio Hernandez Garrido,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1059,Chietla,Juan Gutierrez Briones,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1060,Chigmecatitlan,Maria del Rosario Rodriguez Espinoza,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1061,Chignahuapan,Lorenzo Rivera Nava,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1062,Chignautla,Aaron Bonilla Paulino,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1063,Chila,Carmelo Enriquez Ponce,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1064,Chila de la Sal,Celso Herreros Amigon,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1065,Honey,Teodocio Esteban Cercas Franco,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1066,Chilchotla,Fernando Ambrosio Peralta,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1067,Chinantla,Maria Azucena Zafra Chino,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1068,Domingo Arenas,Rosario Tlacomulco Demetrio,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1069,Eloxochitlan,Delfino Hernandez Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1070,Epatlan,Alicia Vargas Melo,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1071,Esperanza,Isaac Rodriguez Ochoa,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1072,Francisco Z. Mena,Gildardo Vargas Garcia,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1073,General Felipe Angeles,Silvino Reyes de la Cruz,Puebla,Sergio Salomon Cespedes Peregrina,Fuerza por México
1074,Guadalupe,Anai Yosenia Herrera Martinez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1075,Guadalupe Victoria,Aurelio Flores Solano,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1076,Hermenegildo Galeana,Jose Manuel Rodriguez Cruz,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1077,Huaquechula,Raul Marin Espinoza,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1078,Huatlatlauca,Javier Vazquez Rodriguez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1079,Huauchinango,Rogelio Lopez Angulo,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1080,Huehuetla,Rafael Lara Martinez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1081,Huehuetlan el Chico,Maria Guadalupe Espinoza Sanchez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1082,Huejotzingo,Angelica Patricia Alvarado Juarez,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1083,Hueyapan,Pascasia Cecilia Jaime Lino,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1084,Hueytamalco,Joaquin de la Rosa Martinez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1085,Hueytlalpan,Anayeli Gonzalez Cordoba,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1086,Huitzilan de Serdan,Josue Elias Velazquez Bonilla,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1087,Huitziltepec,Jorge Flores Garcia,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1088,Ixcamilpa de Guerrero,Doroteo Quintero Lopez,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1089,Ixcaquixtla,Santiago Miranda de Aquino,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1090,Ixtacamaxtitlan,Sipriano Vazquez Carmona,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1091,Ixtepec,Vicente Nuñez Juarez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1092,Izucar de Matamoros,Irene Olea Torres,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1093,Jalpan,Nicolas Galindo Perez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Encuentro Solidario
1094,Jolalpan,Olga Rosas Parra,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1095,Jonotla,Diogenes Gerardo Mendez Barrera,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1096,Jopala,Fabio Becerra Mendez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1097,Juan C. Bonilla,Jose Cinto Bernal,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1098,Juan Galindo,Maximo Muñoz Vazquez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1099,Juan N. Mendez,Guillermo Gregorio del Rosario,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1100,Lafragua,Raul Pineda Raygoza,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1101,Libres,Armando Ruiz Solis,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1102,La Magdalena Tlatlauquitepec,Ramiro Castillo Flores,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1103,Mazapiltepec de Juarez,Gabriela Marin Castro,Puebla,Sergio Salomon Cespedes Peregrina,Compromiso por Puebla
1104,Mixtla,Raul Campio Vargas,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Ciudadano
1105,Molcaxac,Maria de Lourdes Carrera Carrera,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1106,Cañada Morelos,Gerardo Flores Contreras,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1107,Naupan,Jaime Rodriguez Ramirez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1108,Nauzontla,Roque Martin Reyes Cabrera,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1109,Nealtican,German Torres Romero,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1110,Nicolas Bravo,Mario Ginez Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Partido de la Revolución Democrática
1111,Nopalucan,Porfirio Peralta Benitez,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1112,Ocotepec,Roberto Romerto Hernandez,Puebla,Sergio Salomon Cespedes Peregrina,Nueva Alianza Puebla
1113,Ocoyucan,Rosendo Morales Sanchez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1114,Olintla,Abdi Abihud Ramirez Perez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1115,Oriental,Jose Alejo Gonzalez Carreon,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1116,Pahuatlan,Eduardo Romero Romero,Puebla,Sergio Salomon Cespedes Peregrina,Candidato independiente
1117,Palmar de Bravo,Adan Galdino Silva Valeriano,Puebla,Sergio Salomon Cespedes Peregrina,Partido Verde Ecologista de México
1118,Pantepec,Porfirio Castro Mateos,Puebla,Sergio Salomon Cespedes Peregrina,Movimiento Regeneración Nacional
1119,Petlalcingo,Isabel Vergara Tapia,Puebla,Sergio Salomon Cespedes Peregrina,Partido Revolucionario Institucional
1120,Piaxtla,Miguel Angel Maceda Carrera,Puebla,Sergio Salomon Cespedes Peregrina,Partido del Trabajo
1121,Puebla,Eduardo Rivera Perez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
1122,Quecholac,Jose Alejandro Martinez Fuentes,Puebla,Sergio Salomon Cespedes Peregrina,Pacto Social de Integración
1123,Quimixtlan,Armando Pimentel Gomez,Puebla,Sergio Salomon Cespedes Peregrina,Partido Acción Nacional
